id_ejemplar,id_libro,id_ubicacion,edicion_ejem,medio_adquisicion,tipo_material,n_factura,valor,f_registro_sis,recibido_por,recibido_de,no_ejemplar,fecha_adquisicion,codigo_barras,signatura,paginas,anio_edicion,num_entrada
46,26,58,5a edicion,Canje,Fisico,F-30630,151747.96,2021-08-31,Sede Norte,Salgado-González,3,2023-12-15,593722030312,EX535,256,2018,E-000046
47,27,18,3a edicion,Canje,Fisico,F-38068,167825.16,2023-12-14,Biblioteca Central,Valencia Ltd,1,2025-08-16,543224603201,NE402,464,2025,E-000047
48,27,30,1a edicion,Compra,Fisico,F-26617,163637.11,2017-07-30,Biblioteca Central,Fernández PLC,2,2025-07-02,626391470311,GR504,745,2024,E-000048
49,28,4,5a edicion,Donacion,Fisico,F-40382,146825.58,2017-09-12,Biblioteca Central,Mendoza LLC,1,2022-10-04,699607075785,SR175,327,2022,E-000049
50,28,6,3a edicion,Compra,Fisico,F-44228,69792.52,2016-07-11,Sede Norte,"Muñoz, Contreras and Jiménez",2,2021-05-22,568340493547,AE602,290,2009,E-000050
51,29,45,6a edicion,Compra,Fisico,F-29375,118098.61,2015-10-20,Coordinacion Academica,Bohórquez Ltd,1,2025-04-23,798881029073,WX659,162,2025,E-000051
52,30,11,6a edicion,Canje,Fisico,F-13926,20462.51,2015-02-17,Biblioteca Central,Yepes-Morales,1,2015-09-04,833474346723,YO807,104,1995,E-000052
53,30,6,3a edicion,Donacion,Fisico,F-93498,111663.69,2015-12-05,Sede Norte,"Loaiza, Díaz and Correa",2,2021-03-04,210833234283,OL549,882,2021,E-000053
54,30,24,1a edicion,Compra,Fisico,F-29631,178086.48,2018-07-05,Coordinacion Academica,Ramírez-Domínguez,3,2023-07-11,227441036520,II913,596,2009,E-000054
55,31,17,2a edicion,Compra,Fisico,F-29391,114057.47,2021-06-18,Coordinacion Academica,"Cano, Rodríguez and González",1,2024-08-21,638104357035,NN634,866,2023,E-000055
56,31,12,3a edicion,Compra,Fisico,F-59734,92364.27,2020-09-08,Coordinacion Academica,Arévalo-Bautista,2,1992-07-05,127776896893,QB145,693,1979,E-000056
57,32,57,2a edicion,Suscripcion,Fisico,F-93449,71345.71,2019-01-20,Sede Sur,"Arias, Ospina and Barragán",1,2019-12-07,265485241208,QZ514,466,2017,E-000057
58,33,10,3a edicion,Donacion,Fisico,F-58439,124118.44,2019-02-08,Sede Sur,Angulo-Rincón,1,2008-07-11,288212245281,SK903,670,1990,E-000058
59,33,36,6a edicion,Compra,Fisico,F-71573,23751.06,2017-05-01,Sede Norte,"Martínez, García and López",2,2000-11-17,763186688140,RY976,708,1999,E-000059
60,34,51,1a edicion,Donacion,Fisico,F-18456,25017.44,2023-12-29,Biblioteca Central,Contreras PLC,1,2021-12-18,237130311126,CS986,481,2014,E-000060
61,34,8,5a edicion,Compra,Fisico,F-91995,135992.02,2025-10-15,Sede Norte,León-Chacón,2,2014-09-17,647495122511,YC354,608,1991,E-000061
62,35,34,6a edicion,Compra,Fisico,F-45101,54967.49,2022-07-19,Biblioteca Central,"Mejía, Castro and Cardona",1,2022-02-07,865111920640,XE509,713,2020,E-000062
63,36,34,5a edicion,Canje,Fisico,F-49005,41167.82,2017-09-21,Coordinacion Academica,"Valencia, Díaz and Córdoba",1,2021-12-16,889228069691,OQ233,457,2021,E-000063
64,36,55,5a edicion,Suscripcion,Fisico,F-23643,66081.53,2023-09-23,Sede Sur,"Mena, Núñez and Campo",2,2025-01-25,607159050988,MS994,121,2021,E-000064
65,36,41,4a edicion,Donacion,Fisico,F-58977,140013.57,2024-09-18,Biblioteca Central,Rodríguez-Salcedo,3,2012-01-30,543183025509,AA907,314,1999,E-000065
66,37,35,6a edicion,Donacion,Fisico,F-35122,173271.04,2025-03-22,Biblioteca Central,Ruiz and Sons,1,2013-04-01,193066204832,IH581,466,1998,E-000066
67,37,51,3a edicion,Canje,Fisico,F-85459,173395.33,2020-12-12,Biblioteca Central,"Gil, Valencia and Cruz",2,2012-06-11,348129009099,VG848,191,1994,E-000067
68,37,36,6a edicion,Donacion,Fisico,F-53457,134706.62,2016-07-03,Coordinacion Academica,"Velandia, Santos and Forero",3,2008-10-30,167418920189,SE789,784,1998,E-000068
69,38,41,1a edicion,Canje,Fisico,F-36822,166220.17,2017-05-05,Sede Sur,Perdomo and Sons,1,2023-10-23,381432939845,JF701,402,1993,E-000069
70,39,47,2a edicion,Donacion,Fisico,F-21804,30604.86,2021-09-23,Coordinacion Academica,Rodríguez PLC,1,1999-09-16,613361169039,BY838,886,1982,E-000070
71,39,4,5a edicion,Donacion,Fisico,F-87767,30084.08,2022-08-12,Sede Norte,Montoya Inc,2,2006-06-03,338338820823,KK237,494,1982,E-000071
72,39,15,1a edicion,Suscripcion,Fisico,F-20071,172774.75,2025-04-18,Coordinacion Academica,Navarro and Sons,3,2019-08-16,204751420559,JF572,592,2016,E-000072
73,39,47,5a edicion,Compra,Fisico,F-34225,49436.09,2015-04-19,Biblioteca Central,Arroyo-Moreno,4,2025-10-14,218481355612,GY442,877,2001,E-000073
74,40,54,5a edicion,Compra,Fisico,F-59452,70085.57,2022-02-21,Coordinacion Academica,Rodríguez-Monsalve,1,2012-11-13,899997303737,OD390,690,2010,E-000074
75,40,47,4a edicion,Compra,Fisico,F-99144,50260.79,2019-02-15,Sede Sur,Rodríguez-Salas,2,2025-01-29,181853250700,XG418,698,1982,E-000075
76,41,34,6a edicion,Canje,Fisico,F-80677,63220.18,2017-08-05,Coordinacion Academica,Martínez-Mendoza,1,2021-01-23,626261863996,GG451,107,1982,E-000076
77,42,13,2a edicion,Donacion,Fisico,F-89504,114324.16,2016-08-28,Biblioteca Central,Fernández-González,1,2025-04-14,594952642742,FQ381,423,2023,E-000077
78,42,5,1a edicion,Canje,Fisico,F-48528,36458.65,2021-01-04,Coordinacion Academica,"Vanegas, González and Tovar",2,2014-10-05,924378890640,DP143,455,1996,E-000078
79,43,16,4a edicion,Suscripcion,Fisico,F-67064,174437.5,2023-05-05,Biblioteca Central,"Calderón, Zambrano and Ruiz",1,2024-12-11,862439756486,GG198,199,2024,E-000079
80,43,28,1a edicion,Compra,Fisico,F-17259,100842.33,2017-04-12,Sede Sur,Vera LLC,2,2022-09-21,535469267066,PI722,170,2022,E-000080
81,44,25,2a edicion,Suscripcion,Fisico,F-51992,170151.02,2017-05-21,Biblioteca Central,"González, Cruz and Rodríguez",1,2023-02-25,293070748719,ZN886,303,2023,E-000081
82,44,23,1a edicion,Suscripcion,Fisico,F-82127,45261.64,2021-06-01,Biblioteca Central,Burgos-López,2,2006-04-11,789279484871,LJ967,576,1991,E-000082
83,44,40,2a edicion,Canje,Fisico,F-15287,34111.71,2018-05-30,Biblioteca Central,Mejía Ltd,3,2008-05-25,683229978818,JH558,878,2002,E-000083
84,45,31,6a edicion,Donacion,Fisico,F-16045,49973.52,2022-03-27,Sede Sur,"García, Franco and Giraldo",1,2004-08-25,897208243843,PA227,134,1994,E-000084
85,46,45,6a edicion,Compra,Fisico,F-16224,98720.91,2021-05-01,Biblioteca Central,Padilla-Burbano,1,2018-04-03,421277669253,BE392,667,1998,E-000085
86,47,17,5a edicion,Donacion,Fisico,F-88361,131516.67,2021-12-29,Coordinacion Academica,Díaz Inc,1,2016-08-25,786192444379,EQ686,464,1976,E-000086
87,48,54,5a edicion,Suscripcion,Fisico,F-78447,63765.34,2021-01-01,Sede Sur,Hernández Group,1,2020-04-29,523394781883,YB752,662,2017,E-000087
88,48,22,5a edicion,Compra,Fisico,F-12788,142429.42,2024-12-13,Sede Sur,Hurtado and Sons,2,1996-08-04,781050737334,XV911,279,1990,E-000088
89,48,13,1a edicion,Donacion,Fisico,F-48591,143787.14,2023-09-15,Coordinacion Academica,Arias-Guerrero,3,2025-12-12,720211368694,FN673,136,1986,E-000089
90,48,36,4a edicion,Donacion,Fisico,F-93917,34423.25,2023-07-26,Coordinacion Academica,Pérez PLC,4,2002-01-12,804505720364,EX552,258,2001,E-000090
91,49,47,2a edicion,Donacion,Fisico,F-97837,124319.65,2025-03-07,Sede Sur,"Díaz, Cuéllar and González",1,2019-03-13,369080515375,FA632,221,1994,E-000091
92,49,49,1a edicion,Canje,Fisico,F-55178,173403.39,2024-12-13,Biblioteca Central,Ramírez-Parra,2,2023-04-18,258834754179,LI811,659,2017,E-000092
93,49,22,1a edicion,Donacion,Fisico,F-87399,140912.37,2021-02-08,Sede Norte,"Ruiz, Páez and Quintero",3,2023-09-27,827714114063,PB372,175,2014,E-000093
94,50,25,3a edicion,Suscripcion,Fisico,F-19542,167371.13,2017-06-06,Biblioteca Central,"Bohórquez, Caro and Gómez",1,2024-09-12,630693864526,MY928,516,1999,E-000094
95,50,50,2a edicion,Canje,Fisico,F-54151,176778.23,2023-06-01,Biblioteca Central,"Camargo, Pérez and López",2,1994-01-27,951228333999,LH373,488,1981,E-000095
96,50,16,5a edicion,Canje,Fisico,F-45638,118296.81,2015-06-16,Biblioteca Central,Guerrero Inc,3,2012-05-05,624691439007,DP870,309,2009,E-000096
97,51,28,5a edicion,Suscripcion,Fisico,F-18205,179743.18,2016-04-23,Coordinacion Academica,Castrillón-Zuluaga,1,2022-10-06,321207563243,RO176,163,2017,E-000097
98,52,53,1a edicion,Compra,Fisico,F-59177,102089.04,2021-11-12,Sede Sur,Zuluaga Ltd,1,2021-07-06,422466593131,AJ744,701,2014,E-000098
99,52,4,4a edicion,Suscripcion,Fisico,F-92514,101098.27,2024-10-11,Coordinacion Academica,Correa-Pabón,2,2007-11-01,553729249540,EK742,227,1979,E-000099
100,52,15,6a edicion,Canje,Fisico,F-12204,162793.55,2019-12-10,Coordinacion Academica,"Montoya, Yepes and Camacho",3,2011-01-18,411809625091,DP500,246,1978,E-000100
101,53,47,4a edicion,Suscripcion,Fisico,F-27043,113391.48,2018-11-12,Biblioteca Central,Zambrano-Melo,1,2009-04-08,978559030207,GE194,843,2003,E-000101
102,54,53,4a edicion,Suscripcion,Fisico,F-31098,108294.53,2025-06-16,Biblioteca Central,Molina and Sons,1,2024-07-04,958001807657,HV369,103,2021,E-000102
103,54,44,5a edicion,Canje,Fisico,F-35594,47742.48,2020-02-03,Sede Norte,Villamizar Ltd,2,2023-07-03,447597658780,MJ466,812,2000,E-000103
104,54,23,4a edicion,Compra,Fisico,F-81393,167982.52,2020-03-16,Biblioteca Central,"López, Torres and Díaz",3,1994-02-02,284286901605,VJ794,184,1985,E-000104
105,54,1,4a edicion,Compra,Fisico,F-65299,54265.54,2020-10-03,Sede Sur,Blanco-Restrepo,4,1994-08-28,611669574094,SQ607,639,1980,E-000105
106,55,8,2a edicion,Donacion,Fisico,F-19743,162081.09,2021-02-11,Sede Sur,"Escobar, Loaiza and Ochoa",1,2013-11-13,389081785782,EK706,130,1997,E-000106
107,55,56,5a edicion,Canje,Fisico,F-28461,157580.27,2018-04-19,Biblioteca Central,Rivera-Sánchez,2,2021-12-12,572852346725,XB382,371,2021,E-000107
108,56,14,6a edicion,Canje,Fisico,F-62213,92615.67,2016-03-19,Sede Norte,"Espitia, Flórez and Martínez",1,2010-04-07,610693270141,GF858,889,1990,E-000108
109,56,33,2a edicion,Donacion,Fisico,F-11836,152603.05,2022-03-02,Biblioteca Central,Sánchez Inc,2,2020-12-19,640642672764,ZH940,683,2006,E-000109
110,56,7,6a edicion,Donacion,Fisico,F-78082,168546.61,2019-09-16,Sede Norte,Medina Inc,3,2013-02-03,699459407930,SP448,832,2009,E-000110
111,56,47,6a edicion,Suscripcion,Fisico,F-65839,157986.28,2017-08-06,Sede Norte,Zuluaga-Díaz,4,2023-08-05,228319204895,SM968,607,2006,E-000111
112,56,44,3a edicion,Suscripcion,Fisico,F-54364,52769.87,2023-06-01,Coordinacion Academica,Ángel-Cárdenas,5,2010-05-19,915870988459,IR123,584,1986,E-000112
113,57,47,6a edicion,Suscripcion,Fisico,F-99226,167972.39,2016-05-02,Coordinacion Academica,González-Castro,1,2024-03-19,870853520124,YQ162,492,2012,E-000113
114,57,58,4a edicion,Donacion,Fisico,F-57852,141148.45,2019-03-21,Sede Norte,Quintero-Galindo,2,2011-04-17,821916796990,IK960,255,2006,E-000114
115,57,41,3a edicion,Canje,Fisico,F-30868,29221.21,2019-05-31,Sede Sur,Fuentes-Cárdenas,3,1996-01-17,950467228211,DV443,632,1986,E-000115
116,58,26,5a edicion,Donacion,Fisico,F-19550,101268.18,2023-08-21,Sede Norte,Castellanos-Ortiz,1,2004-10-07,252774642145,ZL435,661,1981,E-000116
117,58,49,5a edicion,Compra,Fisico,F-87415,103152.82,2022-08-24,Sede Sur,Bedoya-Alfonso,2,2020-06-26,573456661269,ED738,703,2000,E-000117
118,58,51,5a edicion,Compra,Fisico,F-26629,162209.13,2015-06-04,Sede Sur,Bastidas Inc,3,2015-06-24,137788776264,DR719,788,2009,E-000118
119,58,43,5a edicion,Suscripcion,Fisico,F-88410,133263.92,2017-10-24,Sede Sur,"Jiménez, Arboleda and Suárez",4,2022-04-16,244518651546,NR405,700,2021,E-000119
120,58,33,5a edicion,Compra,Fisico,F-21011,61788.38,2020-01-25,Coordinacion Academica,Parada PLC,5,2023-05-08,993191835611,FM869,116,1996,E-000120
121,59,23,2a edicion,Donacion,Fisico,F-62645,88850.56,2020-05-10,Sede Norte,"Ramírez, Villa and Torres",1,2007-02-10,944129737464,AG772,271,2003,E-000121
122,59,18,4a edicion,Compra,Fisico,F-18320,133702.44,2022-06-11,Coordinacion Academica,"Sarmiento, Silva and Patiño",2,2016-07-20,772140470004,SQ644,584,1976,E-000122
123,59,10,5a edicion,Suscripcion,Fisico,F-75172,133559.06,2016-09-22,Sede Norte,"Gómez, Lozano and Montoya",3,2023-04-24,668310572006,WQ690,280,1999,E-000123
124,60,51,6a edicion,Canje,Fisico,F-78732,15108.01,2022-03-20,Sede Norte,Rivera Inc,1,2022-03-20,790125389887,VF911,323,2022,E-000124
125,60,45,3a edicion,Compra,Fisico,F-57232,139668.58,2019-05-18,Coordinacion Academica,"Acevedo, Beltrán and Benítez",2,2000-04-29,781730231509,YW439,782,1998,E-000125
126,61,44,1a edicion,Donacion,Fisico,F-81010,44024.69,2023-05-16,Sede Sur,Ríos PLC,1,1979-10-01,511683273707,NG374,337,1977,E-000126
127,61,26,4a edicion,Suscripcion,Fisico,F-28396,73248.29,2024-02-22,Sede Sur,Martínez-Tamayo,2,2009-06-27,800877196955,MJ352,729,1986,E-000127
128,62,48,5a edicion,Canje,Fisico,F-39123,157938.2,2017-03-07,Biblioteca Central,Galeano-Cardozo,1,2023-12-22,543842719541,PO268,346,2018,E-000128
129,62,12,5a edicion,Canje,Fisico,F-73347,44353.27,2025-08-06,Sede Sur,Hernández-Rico,2,2009-05-31,282059697439,AC689,255,1980,E-000129
130,62,56,6a edicion,Donacion,Fisico,F-79434,115309.7,2022-09-12,Sede Sur,Toro-Camacho,3,2009-12-10,345252170553,GX981,596,2000,E-000130
131,62,24,3a edicion,Compra,Fisico,F-74177,100624.27,2025-09-21,Coordinacion Academica,"Hurtado, Martínez and Tovar",4,2016-02-06,458881818958,EE116,704,1981,E-000131
132,62,50,6a edicion,Canje,Fisico,F-39387,16254.38,2018-06-09,Biblioteca Central,Pinto-Cabrera,5,2016-11-17,842504282739,ZH624,670,1995,E-000132
133,63,31,5a edicion,Suscripcion,Fisico,F-16145,47859.39,2024-05-05,Sede Sur,Serna-Jaimes,1,2022-12-30,360197609771,MS375,892,1982,E-000133
134,64,26,3a edicion,Compra,Fisico,F-48489,89856.66,2018-08-31,Sede Sur,Vargas LLC,1,2007-06-06,216832976801,CH321,826,1998,E-000134
135,65,53,4a edicion,Suscripcion,Fisico,F-78750,31067.35,2023-12-16,Coordinacion Academica,Hernández-Castillo,1,2018-10-23,148607520302,XX116,715,2014,E-000135
136,66,56,6a edicion,Compra,Fisico,F-21421,20806.71,2018-12-20,Sede Norte,"Barbosa, Sánchez and Marín",1,2015-04-09,522868018705,VI730,621,1984,E-000136
137,67,38,5a edicion,Suscripcion,Fisico,F-17882,114836.84,2024-05-12,Sede Norte,Rodríguez-González,1,2013-03-23,627240585155,JQ106,358,1982,E-000137
138,67,16,5a edicion,Canje,Fisico,F-31337,161880.57,2025-06-27,Sede Sur,Fuentes PLC,2,2003-10-28,991452273336,PH928,874,1998,E-000138
139,67,4,3a edicion,Suscripcion,Fisico,F-80636,87963.25,2018-05-08,Sede Norte,"Mendoza, Pinto and Ríos",3,2020-08-31,641759525635,TO823,425,2002,E-000139
140,67,48,6a edicion,Canje,Fisico,F-92860,71023.47,2021-08-06,Coordinacion Academica,García Ltd,4,2014-07-26,503574606543,KI915,404,2007,E-000140
141,68,12,5a edicion,Donacion,Fisico,F-90528,165230.31,2025-11-07,Biblioteca Central,Flórez LLC,1,2020-06-17,863698519629,DU538,420,2014,E-000141
142,68,60,1a edicion,Compra,Fisico,F-30439,147267.55,2019-03-06,Sede Norte,Osorio-Pérez,2,1988-03-18,811187877700,WW999,317,1976,E-000142
143,68,9,6a edicion,Compra,Fisico,F-51599,26425.03,2015-01-23,Sede Sur,Uribe-Torres,3,2000-03-18,629740964670,DC134,614,1979,E-000143
144,69,36,6a edicion,Donacion,Fisico,F-23155,61845.06,2018-03-10,Coordinacion Academica,"Agudelo, Carvajal and Morales",1,2019-10-10,745902202921,VP734,813,2015,E-000144
145,70,45,2a edicion,Suscripcion,Fisico,F-93535,145156.56,2023-01-25,Sede Sur,"Corredor, Salazar and Henao",1,2025-01-27,553733855373,YI253,844,2006,E-000145
146,70,24,5a edicion,Donacion,Fisico,F-47737,49509.88,2025-10-01,Biblioteca Central,"Ardila, Espitia and Bedoya",2,1986-08-22,338481613903,KN924,257,1975,E-000146
147,71,13,1a edicion,Donacion,Fisico,F-89505,38630.08,2024-06-07,Biblioteca Central,"Perea, Riascos and García",1,1992-12-30,437700015468,DW739,174,1981,E-000147
148,71,48,1a edicion,Compra,Fisico,F-42079,83535.72,2020-06-28,Sede Norte,Vargas-Zapata,2,2011-11-02,886855003959,SN666,554,1978,E-000148
149,71,35,2a edicion,Suscripcion,Fisico,F-77984,131517.5,2022-06-17,Coordinacion Academica,"Ortiz, Bolívar and Luna",3,1998-02-01,964048382995,PR285,438,1997,E-000149
150,72,48,3a edicion,Canje,Fisico,F-27782,77520.08,2024-09-03,Biblioteca Central,"Velasco, Rivera and Delgado",1,2006-09-05,256016552091,VM733,172,1995,E-000150
151,72,50,6a edicion,Suscripcion,Fisico,F-96203,106376.96,2023-03-08,Biblioteca Central,Agudelo PLC,2,2025-04-26,157520330473,ZU662,266,2007,E-000151
152,73,31,2a edicion,Compra,Fisico,F-38189,47723.0,2023-10-30,Sede Norte,Escobar Inc,1,2010-12-14,722451549783,YH771,676,1982,E-000152
153,73,60,1a edicion,Canje,Fisico,F-32615,40606.62,2025-09-17,Sede Norte,Murillo-Blanco,2,2023-08-02,554154113551,TN275,183,1986,E-000153
154,73,52,3a edicion,Compra,Fisico,F-49740,53984.89,2021-03-05,Sede Norte,Pinzón-Gómez,3,2023-05-25,457197671774,UZ768,452,2021,E-000154
155,74,37,5a edicion,Donacion,Fisico,F-82868,170049.86,2017-12-28,Coordinacion Academica,Melo-Córdoba,1,2025-05-29,637395570384,QB842,740,1990,E-000155
156,74,48,4a edicion,Donacion,Fisico,F-61522,62824.06,2025-07-25,Biblioteca Central,Guerra-Méndez,2,2020-07-13,467524834255,YN367,339,2004,E-000156
157,74,40,6a edicion,Compra,Fisico,F-68566,114595.22,2024-07-05,Coordinacion Academica,"Gamboa, Rojas and Díaz",3,2022-03-04,301875008130,UK684,258,2011,E-000157
158,75,22,2a edicion,Suscripcion,Fisico,F-75234,133596.16,2017-05-27,Coordinacion Academica,Jiménez Group,1,1987-06-28,459993422389,ZA241,673,1985,E-000158
