id_prestamo,id_ejemplar,estado
149,304,Devuelto
149,1907,Devuelto
150,1871,Devuelto
150,1725,Devuelto
151,421,Prestado
151,2095,Prestado
152,1309,Devuelto
152,513,Devuelto
153,538,Prestado
154,1368,Devuelto
154,528,Devuelto
155,2518,Devuelto
155,921,Devuelto
156,440,Perdido
157,1654,Devuelto
157,1788,Devuelto
157,1381,Devuelto
158,330,Devuelto
158,1997,Devuelto
159,823,Devuelto
159,319,Devuelto
159,845,Devuelto
160,2517,Devuelto
161,1888,Devuelto
161,1187,Devuelto
162,474,Devuelto
163,564,Devuelto
164,2003,Devuelto
164,1748,Devuelto
165,1412,Prestado
165,1404,Danado
166,1516,Devuelto
167,2125,Devuelto
168,1313,Devuelto
168,1792,Devuelto
169,1737,Devuelto
169,2565,Devuelto
170,452,Devuelto
170,1571,Devuelto
171,450,Devuelto
172,1921,Devuelto
173,1351,Devuelto
174,796,Devuelto
175,2192,Prestado
176,800,Devuelto
176,1177,Devuelto
177,1368,Devuelto
178,827,Devuelto
179,51,Devuelto
180,1275,Devuelto
180,2428,Devuelto
181,2600,Devuelto
182,1807,Devuelto
182,1335,Devuelto
182,1827,Devuelto
183,1212,Devuelto
184,1292,Devuelto
185,1037,Devuelto
186,471,Devuelto
187,2001,Devuelto
188,2285,Devuelto
189,434,Devuelto
189,521,Devuelto
190,1336,Devuelto
190,2090,Devuelto
191,2006,Devuelto
192,1145,Devuelto
192,164,Devuelto
192,1440,Devuelto
193,267,Devuelto
194,852,Devuelto
195,1554,Prestado
196,1704,Prestado
197,2305,Devuelto
198,898,Prestado
198,2235,Prestado
198,2009,Perdido
199,1262,Prestado
200,977,Devuelto
201,2125,Devuelto
202,2622,Devuelto
202,1020,Devuelto
203,358,Prestado
204,1879,Prestado
205,2543,Devuelto
206,1727,Devuelto
206,1567,Devuelto
206,1502,Devuelto
207,644,Danado
208,1725,Devuelto
208,2044,Devuelto
209,968,Devuelto
210,955,Danado
210,877,Prestado
211,1861,Devuelto
211,1049,Devuelto
212,389,Devuelto
213,2289,Prestado
214,500,Prestado
215,2129,Devuelto
215,762,Devuelto
216,226,Prestado
216,51,Perdido
216,893,Prestado
217,1374,Devuelto
217,2094,Devuelto
218,465,Devuelto
219,1990,Devuelto
219,812,Devuelto
219,554,Devuelto
220,218,Prestado
220,865,Prestado
221,1153,Devuelto
222,1474,Devuelto
222,396,Devuelto
222,2055,Devuelto
223,1946,Devuelto
223,2084,Devuelto
223,2082,Devuelto
224,2632,Devuelto
225,2155,Devuelto
226,1248,Devuelto
227,2051,Devuelto
228,2014,Devuelto
229,1457,Devuelto
230,2380,Devuelto
231,406,Devuelto
232,2453,Devuelto
233,2465,Devuelto
234,1707,Prestado
234,275,Prestado
235,2413,Devuelto
235,725,Devuelto
235,923,Devuelto
236,2340,Prestado
237,2208,Devuelto
238,837,Devuelto
238,545,Devuelto
239,2117,Devuelto
239,1630,Devuelto
240,1744,Prestado
241,2484,Devuelto
241,2341,Devuelto
242,599,Devuelto
243,938,Devuelto
244,1579,Danado
245,2628,Devuelto
246,204,Perdido
247,1072,Devuelto
247,385,Devuelto
247,396,Devuelto
248,690,Devuelto
249,1815,Devuelto
250,1532,Prestado
250,390,Prestado
250,914,Prestado
251,1952,Devuelto
252,1019,Prestado
253,2334,Devuelto
254,290,Danado
255,2592,Devuelto
256,675,Devuelto
256,2420,Devuelto
257,1233,Devuelto
258,844,Devuelto
258,2137,Devuelto
259,2224,Prestado
259,1820,Prestado
259,1632,Prestado
260,1544,Prestado
261,804,Prestado
261,1374,Prestado
261,1229,Prestado
262,929,Devuelto
263,494,Devuelto
263,1411,Devuelto
263,809,Devuelto
264,2098,Prestado
264,2568,Prestado
264,784,Prestado
265,2401,Devuelto
266,1486,Danado
266,1004,Prestado
267,207,Devuelto
267,131,Devuelto
268,1359,Devuelto
269,175,Devuelto
270,121,Devuelto
271,1146,Devuelto
271,426,Devuelto
272,1848,Devuelto
272,132,Devuelto
272,881,Devuelto
273,1031,Devuelto
274,998,Prestado
275,892,Prestado
275,318,Prestado
276,257,Devuelto
277,2566,Devuelto
278,2100,Prestado
279,1612,Prestado
280,1968,Devuelto
281,1922,Devuelto
281,2481,Devuelto
282,1206,Devuelto
282,578,Devuelto
283,2629,Devuelto
283,2498,Devuelto
283,728,Devuelto
284,425,Devuelto
285,2031,Devuelto
286,2220,Devuelto
286,547,Devuelto
287,1396,Devuelto
288,1967,Devuelto
288,1381,Devuelto
289,2009,Devuelto
289,2325,Devuelto
289,1728,Devuelto
290,922,Devuelto
291,248,Devuelto
292,1125,Devuelto
292,2404,Devuelto
293,329,Devuelto
294,1720,Devuelto
295,2594,Devuelto
295,1307,Devuelto
296,1624,Devuelto
297,1972,Prestado
298,212,Devuelto
299,1297,Devuelto
299,2177,Devuelto
299,1776,Devuelto
300,1786,Devuelto
300,668,Devuelto
301,878,Devuelto
301,1810,Devuelto
302,1838,Devuelto
303,1897,Prestado
304,2420,Devuelto
305,799,Devuelto
306,2479,Prestado
306,354,Prestado
307,2005,Devuelto
308,6,Devuelto
309,1797,Prestado
310,659,Devuelto
311,1254,Devuelto
311,1380,Devuelto
312,2072,Devuelto
313,1189,Prestado
313,803,Prestado
313,1,Prestado
314,2610,Devuelto
315,1721,Devuelto
315,1175,Devuelto
316,1395,Prestado
317,2445,Devuelto
318,2214,Devuelto
319,1246,Devuelto
320,2094,Devuelto
321,1114,Devuelto
322,793,Devuelto
323,32,Devuelto
323,859,Devuelto
324,579,Devuelto
324,684,Devuelto
325,1650,Devuelto
326,105,Devuelto
327,848,Prestado
328,2012,Prestado
329,1176,Prestado
329,1343,Prestado
330,1329,Devuelto
331,2376,Prestado
332,1715,Devuelto
332,1180,Devuelto
333,2070,Devuelto
334,529,Devuelto
335,1418,Danado
336,1060,Devuelto
337,671,Prestado
338,978,Devuelto
339,1530,Prestado
339,13,Prestado
340,2640,Devuelto
341,402,Prestado
342,1737,Devuelto
343,596,Prestado
344,1796,Prestado
345,2276,Devuelto
346,2058,Devuelto
347,288,Prestado
348,1295,Devuelto
349,2164,Devuelto
350,1756,Devuelto
350,1118,Devuelto
351,1884,Devuelto
352,981,Devuelto
352,2449,Devuelto
353,1594,Devuelto
354,2471,Devuelto
355,2621,Devuelto
356,2511,Devuelto
357,1007,Devuelto
357,2071,Devuelto
358,803,Devuelto
359,1760,Devuelto
360,862,Prestado
361,2139,Devuelto
361,2380,Devuelto
362,613,Prestado
362,1416,Danado
363,1777,Devuelto
364,420,Devuelto
364,1552,Devuelto
364,1428,Devuelto
365,582,Devuelto
366,153,Devuelto
367,2601,Devuelto
368,2588,Devuelto
369,1966,Devuelto
370,2010,Prestado
371,546,Devuelto
372,2473,Devuelto
373,1544,Devuelto
374,1048,Devuelto
374,2445,Devuelto
374,1655,Devuelto
375,807,Perdido
376,723,Devuelto
376,2435,Devuelto
376,2527,Devuelto
377,236,Prestado
377,2217,Prestado
378,1673,Devuelto
378,2586,Devuelto
379,2190,Devuelto
380,232,Devuelto
381,1804,Devuelto
382,1820,Devuelto
383,2205,Devuelto
383,1693,Devuelto
384,938,Devuelto
384,2465,Devuelto
384,1975,Devuelto
385,277,Devuelto
386,186,Devuelto
386,1470,Devuelto
386,2361,Devuelto
387,1763,Devuelto
388,2352,Perdido
389,136,Devuelto
390,1991,Devuelto
391,1739,Devuelto
392,1050,Devuelto
393,481,Devuelto
394,965,Devuelto
395,1146,Devuelto
396,1935,Devuelto
396,2041,Devuelto
396,770,Devuelto
397,446,Devuelto
398,1122,Devuelto
399,455,Devuelto
399,2516,Devuelto
400,1675,Devuelto
401,333,Prestado
401,867,Prestado
402,1493,Devuelto
403,748,Devuelto
403,1084,Devuelto
403,1914,Devuelto
404,836,Devuelto
405,1427,Devuelto
406,604,Devuelto
407,2144,Devuelto
407,1323,Devuelto
408,1905,Devuelto
409,1225,Devuelto
410,2082,Devuelto
410,1454,Devuelto
411,34,Devuelto
412,2548,Devuelto
413,2093,Devuelto
413,1757,Devuelto
414,2329,Prestado
415,1097,Devuelto
415,1283,Devuelto
416,1339,Devuelto
416,266,Devuelto
417,2525,Prestado
417,118,Prestado
418,1413,Devuelto
418,2488,Devuelto
419,1120,Devuelto
420,1176,Devuelto
421,1318,Devuelto
421,962,Devuelto
421,1564,Devuelto
422,2534,Devuelto
422,2316,Devuelto
423,252,Devuelto
424,2351,Devuelto
425,1822,Devuelto
426,613,Devuelto
427,1759,Devuelto
428,1552,Devuelto
429,347,Devuelto
429,1327,Devuelto
430,971,Devuelto
430,140,Devuelto
430,43,Devuelto
431,46,Prestado
432,246,Devuelto
432,1951,Devuelto
433,2505,Devuelto
433,1927,Devuelto
434,1790,Prestado
434,2307,Prestado
435,1308,Devuelto
436,1468,Devuelto
437,2270,Prestado
438,41,Devuelto
439,1782,Devuelto
440,289,Devuelto
441,154,Devuelto
442,27,Devuelto
443,1649,Devuelto
444,2531,Devuelto
445,1426,Devuelto
445,1499,Devuelto
446,1419,Devuelto
447,898,Perdido
447,2398,Perdido
447,643,Prestado
448,1787,Devuelto
449,869,Devuelto
450,393,Devuelto
451,2196,Devuelto
452,1267,Devuelto
452,1146,Devuelto
452,344,Devuelto
453,2343,Devuelto
454,350,Perdido
455,2457,Devuelto
456,213,Devuelto
457,325,Devuelto
458,2392,Devuelto
459,171,Prestado
460,1784,Devuelto
461,267,Devuelto
462,1767,Devuelto
463,855,Devuelto
463,1685,Devuelto
464,261,Perdido
464,575,Prestado
464,2126,Prestado
465,464,Devuelto
466,782,Devuelto
467,1540,Devuelto
467,2368,Devuelto
467,2463,Devuelto
468,2173,Prestado
469,543,Devuelto
470,2128,Devuelto
471,2378,Devuelto
472,1625,Devuelto
472,553,Devuelto
473,961,Devuelto
474,2629,Devuelto
475,1176,Devuelto
476,592,Devuelto
477,1472,Devuelto
478,1571,Devuelto
479,2293,Devuelto
479,778,Devuelto
480,2339,Devuelto
480,394,Devuelto
481,1673,Devuelto
482,2238,Prestado
483,2324,Devuelto
483,1725,Devuelto
483,1336,Devuelto
484,2260,Devuelto
485,1114,Devuelto
486,64,Prestado
487,1753,Prestado
488,285,Devuelto
489,765,Devuelto
490,2628,Devuelto
490,211,Devuelto
490,1527,Devuelto
491,1874,Prestado
492,1378,Devuelto
493,628,Devuelto
494,194,Devuelto
495,1608,Prestado
495,28,Danado
496,1603,Devuelto
497,1478,Perdido
497,44,Prestado
498,906,Devuelto
498,1371,Devuelto
499,1617,Devuelto
500,1541,Devuelto
501,227,Devuelto
502,1475,Devuelto
502,120,Devuelto
503,2530,Devuelto
503,86,Devuelto
503,2095,Devuelto
504,2638,Prestado
504,1527,Prestado
505,2354,Devuelto
506,1951,Prestado
507,2391,Devuelto
507,395,Devuelto
507,2466,Devuelto
508,1092,Devuelto
509,623,Devuelto
510,2432,Devuelto
510,171,Devuelto
511,1334,Devuelto
511,625,Devuelto
512,2321,Devuelto
513,1588,Devuelto
513,75,Devuelto
514,111,Devuelto
515,1731,Devuelto
516,1115,Perdido
516,2037,Prestado
516,292,Prestado
517,934,Devuelto
518,413,Devuelto
519,2591,Devuelto
520,536,Devuelto
521,1707,Devuelto
522,548,Prestado
522,961,Prestado
523,2262,Devuelto
524,898,Devuelto
525,1022,Devuelto
525,31,Devuelto
525,2508,Devuelto
526,2201,Danado
526,997,Prestado
526,401,Prestado
527,54,Prestado
528,804,Prestado
529,1815,Devuelto
530,629,Prestado
531,1653,Devuelto
532,2263,Devuelto
532,1609,Devuelto
532,1696,Devuelto
533,140,Devuelto
533,1367,Devuelto
534,167,Prestado
534,129,Perdido
534,204,Prestado
535,882,Devuelto
536,1342,Devuelto
537,1526,Devuelto
538,218,Perdido
538,380,Prestado
539,1365,Prestado
539,1860,Prestado
540,1970,Devuelto
541,1122,Devuelto
542,437,Devuelto
543,2173,Devuelto
543,2129,Devuelto
544,469,Prestado
544,1424,Prestado
545,468,Prestado
545,1209,Prestado
545,1111,Prestado
546,1035,Devuelto
547,382,Devuelto
548,1666,Perdido
549,580,Devuelto
550,1602,Devuelto
550,1754,Devuelto
550,2197,Devuelto
551,1190,Devuelto
552,1285,Devuelto
552,1363,Devuelto
553,2597,Prestado
554,2033,Devuelto
555,1477,Devuelto
556,1443,Devuelto
557,187,Devuelto
558,937,Devuelto
559,544,Devuelto
560,2299,Prestado
561,756,Prestado
562,2091,Devuelto
562,1269,Devuelto
562,2515,Devuelto
563,2157,Devuelto
564,397,Devuelto
565,657,Devuelto
566,958,Devuelto
567,1373,Devuelto
568,245,Devuelto
569,847,Devuelto
569,823,Devuelto
570,1478,Prestado
571,807,Devuelto
572,466,Devuelto
573,1820,Devuelto
573,20,Devuelto
574,2076,Devuelto
575,769,Devuelto
576,1869,Devuelto
577,2367,Devuelto
577,785,Devuelto
577,1826,Devuelto
578,720,Devuelto
579,2542,Devuelto
580,452,Devuelto
580,1977,Devuelto
581,312,Prestado
581,2500,Perdido
582,697,Devuelto
583,2238,Prestado
584,1120,Devuelto
584,808,Devuelto
584,493,Devuelto
585,1287,Devuelto
586,2030,Devuelto
586,1247,Devuelto
587,1833,Devuelto
588,1122,Prestado
589,2499,Devuelto
590,2354,Devuelto
591,428,Devuelto
592,1423,Devuelto
592,1669,Devuelto
593,1987,Devuelto
594,228,Prestado
595,995,Devuelto
596,1076,Devuelto
596,612,Devuelto
597,354,Devuelto
598,2447,Devuelto
599,1368,Devuelto
600,2397,Perdido
601,1186,Devuelto
601,428,Devuelto
602,530,Devuelto
603,1770,Devuelto
604,2242,Devuelto
605,274,Devuelto
606,357,Devuelto
606,1850,Devuelto
606,197,Devuelto
607,1560,Devuelto
607,1032,Devuelto
608,481,Prestado
609,1006,Devuelto
610,1432,Devuelto
611,83,Devuelto
611,395,Devuelto
612,1562,Devuelto
612,2511,Devuelto
613,1784,Danado
614,1224,Devuelto
615,1437,Devuelto
615,1942,Devuelto
615,934,Devuelto
616,1743,Devuelto
617,2121,Devuelto
617,1107,Devuelto
618,2536,Prestado
619,2578,Devuelto
620,282,Prestado
621,456,Prestado
622,419,Devuelto
623,1226,Devuelto
623,1413,Devuelto
624,2388,Devuelto
625,1146,Devuelto
626,1472,Devuelto
627,776,Prestado
628,1572,Devuelto
628,2249,Devuelto
629,1913,Devuelto
630,1615,Devuelto
631,320,Devuelto
632,2120,Devuelto
632,204,Devuelto
633,989,Devuelto
634,2125,Prestado
634,281,Prestado
635,1919,Devuelto
636,801,Devuelto
636,96,Devuelto
637,2475,Devuelto
637,129,Devuelto
638,72,Devuelto
639,1578,Devuelto
639,1129,Devuelto
640,14,Devuelto
641,29,Devuelto
642,11,Devuelto
643,510,Devuelto
644,2518,Devuelto
644,195,Devuelto
645,2103,Devuelto
646,865,Devuelto
647,727,Devuelto
648,1547,Devuelto
649,569,Devuelto
650,1872,Devuelto
650,751,Devuelto
651,2033,Prestado
652,1328,Devuelto
653,851,Devuelto
654,1581,Devuelto
655,1360,Devuelto
655,2397,Devuelto
656,1902,Devuelto
657,864,Devuelto
658,577,Prestado
659,1500,Devuelto
659,1066,Devuelto
660,215,Devuelto
661,1409,Devuelto
661,857,Devuelto
661,2308,Devuelto
662,778,Prestado
663,396,Devuelto
663,798,Devuelto
664,1421,Devuelto
664,2518,Devuelto
665,1213,Devuelto
666,243,Devuelto
667,254,Devuelto
668,2499,Devuelto
668,2301,Devuelto
669,1878,Devuelto
670,1046,Devuelto
671,1288,Devuelto
671,368,Devuelto
672,993,Devuelto
673,1585,Devuelto
674,283,Devuelto
675,365,Devuelto
676,1779,Devuelto
676,1504,Devuelto
677,203,Devuelto
678,641,Devuelto
678,1478,Devuelto
678,1182,Devuelto
679,710,Devuelto
679,1754,Devuelto
680,1691,Devuelto
681,2356,Prestado
682,2133,Devuelto
683,1475,Devuelto
684,2496,Devuelto
684,2524,Devuelto
685,2445,Devuelto
686,2348,Devuelto
687,2304,Prestado
688,262,Devuelto
689,1142,Devuelto
690,1320,Devuelto
690,721,Devuelto
691,2551,Devuelto
692,1456,Prestado
693,666,Prestado
694,2102,Devuelto
694,2532,Devuelto
695,1785,Prestado
695,827,Prestado
696,1422,Devuelto
697,239,Devuelto
697,861,Devuelto
698,14,Devuelto
699,523,Prestado
700,2638,Devuelto
701,2113,Devuelto
701,2020,Devuelto
702,862,Devuelto
703,1073,Devuelto
704,1235,Devuelto
705,2095,Prestado
706,1182,Devuelto
706,1359,Devuelto
707,1860,Devuelto
707,1182,Devuelto
708,2157,Prestado
709,1741,Devuelto
710,821,Prestado
710,2302,Prestado
711,1173,Devuelto
712,2553,Devuelto
713,1400,Devuelto
713,1020,Devuelto
714,1392,Prestado
714,709,Prestado
714,263,Prestado
715,1556,Devuelto
716,88,Devuelto
717,1772,Devuelto
717,2182,Devuelto
717,2352,Devuelto
718,622,Devuelto
719,1048,Danado
719,1927,Prestado
719,418,Prestado
720,71,Devuelto
720,2235,Devuelto
721,315,Devuelto
722,874,Prestado
723,421,Devuelto
724,859,Devuelto
724,2385,Devuelto
725,1489,Devuelto
726,396,Devuelto
727,1711,Devuelto
727,2443,Devuelto
728,559,Devuelto
729,2276,Devuelto
730,1063,Devuelto
731,519,Devuelto
732,1677,Devuelto
732,945,Devuelto
732,2572,Devuelto
733,523,Devuelto
734,1082,Devuelto
735,1945,Devuelto
736,149,Devuelto
737,511,Devuelto
738,1609,Devuelto
738,2001,Devuelto
739,1805,Devuelto
740,2049,Devuelto
741,322,Devuelto
741,511,Devuelto
742,2481,Devuelto
743,732,Devuelto
744,1223,Devuelto
745,717,Prestado
746,1384,Prestado
747,2502,Devuelto
748,851,Devuelto
748,788,Devuelto
749,2305,Prestado
749,772,Perdido
750,1821,Prestado
750,340,Prestado
751,2246,Devuelto
752,1202,Prestado
753,2291,Devuelto
754,1791,Devuelto
754,2617,Devuelto
755,2581,Prestado
755,1561,Prestado
756,1760,Devuelto
757,2390,Prestado
758,2523,Devuelto
759,2085,Prestado
760,1529,Prestado
761,1789,Danado
761,2030,Danado
762,2486,Devuelto
763,2149,Devuelto
764,2333,Devuelto
764,506,Devuelto
764,2571,Devuelto
765,2302,Devuelto
766,1885,Devuelto
766,1118,Devuelto
766,1593,Devuelto
767,961,Devuelto
768,342,Devuelto
768,2452,Devuelto
768,36,Devuelto
769,1185,Devuelto
770,1380,Devuelto
771,1339,Devuelto
772,1624,Devuelto
773,1856,Devuelto
773,864,Devuelto
773,1365,Devuelto
774,680,Perdido
775,2068,Devuelto
776,2430,Devuelto
776,2477,Devuelto
777,1780,Devuelto
778,2184,Devuelto
779,2210,Devuelto
780,1101,Devuelto
780,871,Devuelto
781,1578,Prestado
782,1660,Devuelto
783,346,Devuelto
784,2523,Devuelto
785,1891,Devuelto
786,2514,Devuelto
787,1490,Devuelto
787,1189,Devuelto
787,824,Devuelto
788,1393,Prestado
789,186,Danado
790,590,Devuelto
790,1889,Devuelto
791,1698,Devuelto
792,2579,Devuelto
793,2369,Devuelto
794,2245,Devuelto
794,1569,Devuelto
795,2490,Devuelto
796,1359,Devuelto
797,1227,Devuelto
797,835,Devuelto
798,660,Devuelto
799,1073,Prestado
800,685,Devuelto
800,416,Devuelto
801,2246,Prestado
802,2633,Devuelto
803,21,Prestado
803,2559,Prestado
803,2098,Prestado
804,2535,Devuelto
804,2396,Devuelto
805,509,Devuelto
806,1237,Devuelto
806,426,Devuelto
807,1468,Devuelto
808,2288,Devuelto
808,1429,Devuelto
809,325,Prestado
810,1963,Devuelto
810,2578,Devuelto
811,662,Devuelto
812,1645,Devuelto
812,898,Devuelto
812,1699,Devuelto
813,749,Devuelto
814,1688,Prestado
815,1094,Devuelto
816,2355,Devuelto
816,731,Devuelto
817,868,Devuelto
818,1630,Devuelto
819,1185,Devuelto
820,108,Devuelto
821,343,Devuelto
822,2577,Prestado
823,972,Devuelto
824,1640,Prestado
824,2163,Prestado
824,1383,Prestado
825,1772,Devuelto
825,2061,Devuelto
825,725,Devuelto
826,401,Prestado
827,678,Prestado
828,1574,Prestado
828,1597,Prestado
829,2200,Devuelto
830,2000,Devuelto
831,33,Devuelto
832,1918,Devuelto
833,63,Devuelto
834,1012,Devuelto
835,416,Devuelto
836,1304,Devuelto
836,2551,Devuelto
837,1922,Devuelto
838,874,Prestado
839,555,Devuelto
840,1435,Devuelto
840,835,Devuelto
841,2452,Devuelto
842,2177,Devuelto
843,1264,Devuelto
844,966,Devuelto
844,1916,Devuelto
845,1416,Devuelto
845,2255,Devuelto
846,1507,Devuelto
847,354,Prestado
848,471,Devuelto
849,984,Devuelto
850,31,Devuelto
851,764,Prestado
852,1703,Devuelto
853,1030,Perdido
854,967,Devuelto
855,412,Devuelto
856,2437,Devuelto
857,929,Devuelto
858,2210,Prestado
859,647,Prestado
859,578,Prestado
860,1240,Perdido
861,2519,Devuelto
862,846,Prestado
863,1275,Devuelto
863,2329,Devuelto
864,312,Devuelto
865,1561,Devuelto
866,803,Devuelto
867,1554,Devuelto
867,1770,Devuelto
868,849,Devuelto
869,1716,Devuelto
870,802,Devuelto
870,1347,Devuelto
871,1235,Devuelto
872,753,Prestado
873,871,Devuelto
874,1332,Prestado
875,2096,Prestado
875,1315,Prestado
876,2509,Devuelto
877,1048,Devuelto
878,1665,Devuelto
879,1795,Devuelto
880,2252,Devuelto
881,2627,Devuelto
882,723,Prestado
883,1,Danado
884,27,Devuelto
885,1182,Devuelto
885,362,Devuelto
885,589,Devuelto
886,2625,Devuelto
887,1151,Devuelto
888,1263,Devuelto
889,1886,Devuelto
890,35,Devuelto
891,1854,Prestado
891,1369,Prestado
892,2599,Prestado
893,1104,Devuelto
894,1036,Devuelto
895,68,Devuelto
896,514,Devuelto
896,1559,Devuelto
897,2575,Prestado
897,1626,Prestado
897,824,Prestado
898,626,Devuelto
899,768,Devuelto
899,1664,Devuelto
900,1072,Devuelto
900,1284,Devuelto
900,1167,Devuelto
