id_prestamo,id_usuario,fecha_prestamo,fecha_devolucion,fecha_limite,observaciones,multa
35,56,2025-11-24,2025-12-14,2025-12-08,Omnis minus maxime corrupti consequuntur fugit voluptate maiores.,3000
36,104,2023-04-29,2023-05-11,2023-05-20,Accusamus possimus laborum fuga libero reiciendis quibusdam doloribus.,0.0
37,93,2024-01-28,,2024-02-04,Odio facere nisi officiis officiis impedit.,0.0
38,393,2023-10-16,2023-10-23,2023-11-15,,0.0
39,171,2023-01-02,2023-01-16,2023-02-01,Et alias neque nostrum asperiores distinctio.,0.0
40,103,2023-08-03,2023-08-30,2023-08-17,Molestias molestias nesciunt recusandae a vitae.,6500
41,238,2025-12-06,2025-12-13,2025-12-13,Suscipit quis maxime fugit adipisci architecto sunt a aut nisi.,0.0
42,23,2022-03-10,2022-03-15,2022-03-24,,0.0
43,141,2022-01-06,2022-01-25,2022-02-05,Totam dignissimos id doloribus voluptate maiores.,0.0
44,107,2023-07-28,2023-08-22,2023-08-27,Officiis voluptatem optio enim quos earum rem laborum quod.,0.0
45,327,2024-01-21,2024-02-16,2024-02-20,Cupiditate similique quae laudantium libero impedit.,0.0
46,170,2025-01-25,2025-02-05,2025-02-24,Quos dolore velit quaerat asperiores ullam amet esse maiores error.,0.0
47,180,2024-01-08,2024-01-23,2024-01-15,,4000
48,343,2022-07-15,2022-07-28,2022-08-14,,0.0
49,275,2024-11-05,2024-11-25,2024-11-26,,0.0
50,370,2024-03-06,2024-03-16,2024-03-13,,1500
51,87,2023-11-15,2023-11-25,2023-12-06,Aliquid nihil iusto voluptas eveniet quo maiores.,0.0
52,122,2023-10-17,,2023-11-07,Debitis nam nam vero aperiam minima quia.,0.0
53,116,2024-04-10,,2024-04-17,,0.0
54,310,2022-01-09,2022-02-12,2022-01-30,Iure nisi quae possimus dolorem commodi vitae.,6500
55,260,2024-01-16,2024-01-20,2024-01-30,,0.0
56,113,2024-02-06,2024-02-21,2024-03-07,,0.0
57,303,2024-01-03,2024-01-27,2024-02-02,,0.0
58,314,2024-12-12,2024-12-26,2024-12-26,,0.0
59,297,2024-06-17,2024-07-12,2024-07-08,,2000
60,365,2022-03-31,2022-05-02,2022-04-21,,5500
61,208,2023-02-19,2023-02-28,2023-02-26,,1000
62,234,2022-01-02,2022-01-19,2022-01-23,,0.0
63,8,2024-01-29,2024-02-19,2024-02-05,,7000
64,265,2025-10-23,2025-11-13,2025-11-22,,0.0
65,274,2025-06-07,2025-06-28,2025-06-14,,7000
66,384,2025-04-24,,2025-05-24,,0.0
67,94,2022-09-30,2022-10-19,2022-10-14,Nulla ipsam harum dolor consectetur distinctio consequatur laudantium.,2500
68,354,2023-05-07,2023-05-23,2023-05-14,Ipsum quibusdam est praesentium sit.,4500
69,289,2022-08-04,,2022-08-11,,0.0
70,175,2022-07-26,2022-08-11,2022-08-09,,1000
71,368,2025-10-07,,2025-10-14,Sequi minima mollitia sit modi nostrum cumque impedit ad.,0.0
72,69,2022-04-12,2022-04-19,2022-04-26,,0.0
73,139,2023-03-19,2023-03-27,2023-04-02,Blanditiis exercitationem sint cumque id mollitia necessitatibus.,0.0
74,153,2022-09-27,,2022-10-18,Nemo dolore vel accusantium.,0.0
75,12,2023-06-20,2023-07-06,2023-07-04,Itaque omnis debitis eum dolorem.,1000
76,8,2025-11-16,2025-11-20,2025-11-30,Culpa molestiae accusantium dolor ipsum adipisci.,0.0
77,88,2023-01-26,2023-03-06,2023-02-09,,12500
78,171,2025-10-08,2025-10-24,2025-10-22,Sed officiis nam sed rerum.,1000
79,172,2025-04-15,2025-04-30,2025-05-15,A sint quidem harum harum sint doloremque.,0.0
80,60,2022-11-28,,2022-12-19,,0.0
81,378,2024-09-19,2024-10-07,2024-10-19,,0.0
82,147,2023-07-17,2023-08-11,2023-08-16,Alias iure consequuntur laudantium alias quia facilis possimus.,0.0
83,111,2025-01-05,2025-01-29,2025-02-04,,0.0
84,329,2023-07-18,2023-07-19,2023-07-25,,0.0
85,193,2025-05-08,2025-05-24,2025-05-15,Veritatis ab quasi tempore porro suscipit expedita dolores dignissimos ad.,4500
86,370,2024-09-20,,2024-10-04,,0.0
87,84,2024-05-16,,2024-06-15,,0.0
88,75,2024-09-30,2024-11-07,2024-10-14,Quae in eveniet architecto est rerum earum vel.,12000
89,101,2025-05-10,2025-06-09,2025-06-09,,0.0
90,80,2023-01-09,2023-02-11,2023-01-30,Doloribus soluta facilis asperiores quas excepturi dignissimos omnis adipisci.,6000
91,96,2024-06-04,2024-06-15,2024-06-18,,0.0
92,101,2024-12-21,2024-12-27,2025-01-04,,0.0
93,173,2023-10-29,2023-11-12,2023-11-12,,0.0
94,395,2022-02-27,2022-03-01,2022-03-29,,0.0
95,22,2025-12-15,,2026-01-05,,0.0
96,154,2025-11-08,,2025-11-15,Ipsam animi sint nesciunt vel recusandae eos a.,0.0
97,95,2023-09-30,,2023-10-21,,0.0
98,199,2022-11-14,,2022-12-05,,0.0
99,358,2022-02-23,2022-03-10,2022-03-09,,500
100,356,2022-03-12,2022-03-23,2022-04-02,,0.0
101,143,2025-11-17,2025-12-17,2025-12-01,At sapiente excepturi occaecati in excepturi dolores.,8000
102,107,2023-02-07,2023-02-22,2023-02-28,,0.0
103,375,2024-07-04,2024-07-10,2024-07-25,,0.0
104,297,2025-06-02,2025-06-05,2025-06-09,,0.0
105,293,2023-07-03,2023-07-27,2023-07-24,,1500
106,67,2024-11-07,2024-12-08,2024-11-21,Dolore fugit optio maxime veritatis.,8500
107,3,2025-11-30,2025-12-31,2025-12-14,,8500
108,258,2022-05-24,2022-06-13,2022-06-23,,0.0
109,87,2024-03-17,2024-04-09,2024-04-16,,0.0
110,331,2022-07-20,2022-08-13,2022-08-10,,1500
111,293,2024-01-14,2024-02-08,2024-01-21,Eius dolore aut eum magnam praesentium adipisci mollitia aut.,9000
112,339,2022-10-13,,2022-11-12,Placeat laborum aliquam quae inventore dolores.,0.0
113,347,2022-12-20,,2023-01-10,,0.0
114,53,2025-07-24,,2025-08-14,,0.0
115,189,2025-09-29,,2025-10-06,,0.0
116,74,2024-04-20,2024-04-25,2024-05-04,,0.0
117,14,2024-04-15,2024-05-18,2024-05-15,,1500
118,379,2025-03-12,,2025-04-02,,0.0
119,103,2024-04-03,2024-04-19,2024-04-24,,0.0
120,393,2023-07-01,,2023-07-15,,0.0
121,139,2023-02-11,2023-03-04,2023-02-25,,3500
122,325,2023-04-06,,2023-04-20,Eaque facilis vitae quos dolore ducimus.,0.0
123,357,2023-03-28,,2023-04-18,,0.0
124,365,2023-03-02,2023-03-12,2023-04-01,Sint facere quaerat quas veritatis harum quia odit.,0.0
125,347,2022-09-03,2022-09-25,2022-09-10,,7500
126,317,2024-04-22,2024-04-24,2024-05-06,,0.0
127,383,2024-01-18,2024-01-23,2024-02-01,,0.0
128,142,2022-12-01,2022-12-27,2022-12-22,,2500
129,223,2023-07-31,2023-08-04,2023-08-30,,0.0
130,260,2025-07-06,2025-07-17,2025-08-05,,0.0
131,236,2023-04-22,2023-04-24,2023-04-29,,0.0
132,70,2022-03-23,2022-03-30,2022-03-30,Atque autem officia nisi consequuntur.,0.0
133,328,2023-08-17,2023-09-25,2023-08-24,A fugiat expedita nobis molestias nobis.,16000
134,247,2022-09-21,2022-10-24,2022-09-28,,13000
135,300,2025-04-15,2025-05-02,2025-04-22,Quia sapiente beatae laborum expedita itaque exercitationem ullam.,5000
136,353,2022-04-22,2022-05-05,2022-04-29,Unde harum temporibus labore explicabo accusantium illo suscipit officia optio.,3000
137,146,2023-08-24,,2023-09-07,,0.0
138,149,2023-03-02,2023-03-29,2023-03-09,Occaecati eligendi deserunt nobis inventore incidunt sunt sit nam quis.,10000
139,235,2023-06-27,2023-07-01,2023-07-04,Quos cum consequuntur a sapiente veniam voluptatem aspernatur adipisci.,0.0
140,190,2023-07-17,2023-08-09,2023-07-31,,4500
141,263,2023-03-21,2023-04-24,2023-03-28,,13500
142,395,2023-10-11,2023-10-12,2023-10-18,,0.0
143,268,2024-01-03,2024-01-20,2024-01-10,Fugit perferendis dolorem laborum quibusdam at eos.,5000
144,180,2022-05-28,2022-07-04,2022-06-18,Quam quae quia beatae tenetur vel.,8000
145,34,2022-09-27,2022-10-07,2022-10-27,,0.0
146,63,2023-04-17,2023-05-09,2023-05-17,Excepturi aperiam eos neque explicabo vero vero.,0.0
147,50,2025-12-23,2026-01-23,2026-01-22,Corporis nulla accusantium incidunt nesciunt.,500
148,202,2024-01-28,2024-01-31,2024-02-11,Iusto voluptate incidunt totam consequatur ipsum consequuntur.,0.0
149,358,2024-05-13,2024-05-30,2024-06-03,,0.0
150,358,2023-01-18,2023-01-26,2023-02-08,Dicta occaecati alias quos ad maxime cum.,0.0
151,96,2023-02-14,,2023-03-16,Animi maxime eaque inventore error aliquam saepe in.,0.0
152,280,2024-06-17,2024-06-20,2024-07-01,,0.0
153,383,2023-09-20,,2023-10-11,Eos laudantium quos accusamus cupiditate cumque eum totam optio.,0.0
154,379,2022-02-10,2022-02-13,2022-03-12,,0.0
155,121,2025-10-12,2025-10-27,2025-10-26,,500
156,299,2022-07-23,,2022-07-30,,0.0
157,51,2025-06-09,2025-07-17,2025-06-23,,12000
158,305,2025-12-15,2025-12-17,2026-01-05,,0.0
159,232,2024-10-31,2024-12-10,2024-11-07,,16500
160,265,2022-08-15,2022-08-27,2022-08-29,,0.0
161,132,2023-09-19,2023-10-27,2023-09-26,,15500
162,363,2023-12-30,2024-01-19,2024-01-20,,0.0
163,331,2022-04-01,2022-04-18,2022-04-15,Deleniti quia ipsum delectus delectus.,1500
164,224,2023-05-13,2023-06-08,2023-06-12,,0.0
165,20,2025-01-28,,2025-02-04,,0.0
166,76,2022-12-17,2023-01-16,2022-12-31,,8000
167,242,2023-01-23,2023-02-24,2023-01-30,,12500
168,235,2024-11-24,2024-12-24,2024-12-08,,8000
169,129,2022-01-24,2022-02-02,2022-02-23,,0.0
170,367,2024-10-27,2024-11-02,2024-11-10,,0.0
171,182,2023-03-25,2023-04-01,2023-04-08,,0.0
172,222,2023-01-01,2023-01-17,2023-01-08,,4500
173,43,2025-12-26,2025-12-28,2026-01-25,,0.0
174,196,2022-11-06,2022-11-15,2022-11-27,,0.0
175,288,2024-04-01,,2024-04-08,,0.0
176,11,2024-05-07,2024-05-13,2024-06-06,,0.0
177,93,2022-01-04,2022-02-10,2022-01-18,,11500
178,111,2025-10-07,2025-11-07,2025-11-06,,500
179,112,2022-02-12,2022-02-26,2022-03-14,,0.0
180,360,2025-05-04,2025-05-30,2025-05-25,,2500
181,182,2024-10-07,2024-10-29,2024-11-06,Tenetur expedita unde laudantium eaque.,0.0
182,25,2025-08-15,2025-09-06,2025-08-22,,7500
183,96,2022-04-20,2022-05-30,2022-05-04,,13000
184,221,2025-11-17,2025-12-11,2025-11-24,,8500
185,397,2023-10-01,2023-10-20,2023-10-08,Atque dolorum voluptate nostrum expedita.,6000
186,201,2022-09-17,2022-09-22,2022-10-08,Eaque cum beatae deleniti dignissimos quidem nostrum illo occaecati aut.,0.0
187,313,2022-01-27,2022-03-06,2022-02-10,,12000
188,391,2024-06-20,2024-06-28,2024-07-20,,0.0
189,108,2022-08-13,2022-09-17,2022-09-03,,7000
190,69,2024-12-04,2024-12-20,2024-12-25,,0.0
191,357,2022-07-11,2022-08-17,2022-08-10,Cum nesciunt officiis voluptate ipsa autem repellat quos velit eligendi.,3500
192,191,2022-09-01,2022-09-23,2022-10-01,Quam saepe voluptatum fugiat iure repellendus fugit.,0.0
193,174,2025-11-20,2025-12-22,2025-11-27,,12500
194,182,2023-02-12,2023-03-13,2023-02-19,,11000
195,318,2025-09-23,,2025-10-07,,0.0
196,202,2025-01-07,,2025-01-21,Tempore nam ullam animi perspiciatis officiis voluptatum velit.,0.0
197,150,2023-02-10,2023-03-14,2023-02-17,,12500
198,242,2024-06-24,,2024-07-15,,0.0
199,162,2023-02-21,,2023-03-14,Recusandae repudiandae nemo natus explicabo sunt sunt.,0.0
200,70,2025-09-16,2025-10-25,2025-10-16,,4500
201,280,2024-11-27,2024-12-27,2024-12-04,Sunt maiores blanditiis corporis exercitationem ex rerum dolorum minus similique.,11500
202,2,2022-02-22,2022-02-28,2022-03-08,Placeat consequuntur doloribus vel perferendis quam quis excepturi.,0.0
203,3,2023-05-26,,2023-06-09,,0.0
204,394,2023-05-06,,2023-05-27,,0.0
205,251,2025-05-08,2025-05-31,2025-05-15,,8000
206,205,2024-12-31,2025-01-26,2025-01-21,Blanditiis quis commodi saepe recusandae minus quod delectus sequi repellat.,2500
207,134,2022-02-07,,2022-03-09,,0.0
208,148,2025-05-12,2025-06-19,2025-05-19,,15500
209,332,2025-12-17,2026-01-14,2026-01-16,Sed excepturi accusamus inventore dolor.,0.0
210,354,2025-11-13,,2025-11-27,,0.0
211,175,2024-06-28,2024-06-30,2024-07-12,Quasi molestiae repellat dolorem.,0.0
212,10,2025-08-20,2025-09-14,2025-08-27,,9000
213,212,2023-01-04,,2023-01-25,,0.0
214,363,2023-11-10,,2023-11-24,,0.0
215,129,2023-10-12,2023-11-07,2023-11-11,,0.0
216,343,2025-07-03,,2025-07-17,,0.0
217,33,2023-07-17,2023-08-25,2023-08-07,,9000
218,226,2022-12-27,2023-02-01,2023-01-10,,11000
219,375,2025-08-01,2025-08-16,2025-08-22,,0.0
220,194,2023-04-05,,2023-05-05,,0.0
221,263,2025-08-15,2025-08-19,2025-08-22,,0.0
222,309,2023-11-27,2023-12-27,2023-12-11,,8000
223,335,2024-03-14,2024-03-28,2024-03-28,Enim autem inventore labore recusandae nihil possimus sit neque officia.,0.0
224,304,2025-12-26,2026-01-14,2026-01-02,Eveniet sapiente sunt neque.,6000
225,152,2024-09-24,2024-10-07,2024-10-15,,0.0
226,58,2025-09-10,2025-09-21,2025-09-17,,2000
227,268,2024-05-23,2024-05-24,2024-06-22,,0.0
228,219,2024-04-17,2024-05-12,2024-04-24,,9000
229,362,2024-11-01,2024-11-12,2024-12-01,,0.0
230,387,2024-01-27,2024-02-05,2024-02-26,,0.0
231,322,2025-02-14,2025-02-17,2025-03-07,,0.0
232,295,2023-08-27,2023-09-11,2023-09-17,,0.0
233,200,2023-02-01,2023-02-26,2023-02-15,,5500
234,151,2022-02-16,,2022-02-23,,0.0
235,170,2024-03-12,2024-04-07,2024-03-19,,9500
236,177,2023-01-11,,2023-01-25,,0.0
237,308,2023-02-17,2023-03-19,2023-02-24,,11500
238,357,2022-08-02,2022-09-05,2022-08-09,,13500
239,264,2024-05-20,2024-05-24,2024-05-27,,0.0
240,123,2025-07-29,,2025-08-12,,0.0
241,271,2023-07-22,2023-08-30,2023-08-12,Nobis voluptatem eos tenetur esse.,9000
242,261,2025-08-15,2025-08-21,2025-09-05,Ad ipsa velit voluptatibus suscipit doloribus iste.,0.0
243,386,2024-10-13,2024-11-14,2024-10-20,,12500
244,13,2023-09-22,,2023-10-06,,0.0
245,24,2023-09-24,2023-10-03,2023-10-08,,0.0
246,31,2025-05-03,,2025-05-24,,0.0
247,229,2022-04-24,2022-05-23,2022-05-24,,0.0
248,98,2023-11-16,2023-12-07,2023-11-23,,7000
249,366,2023-10-15,2023-11-09,2023-11-14,Iusto mollitia esse blanditiis porro odio quia fuga libero.,0.0
250,107,2023-03-27,,2023-04-26,Et totam numquam natus debitis illum cum labore cumque eaque.,0.0
251,242,2024-03-07,2024-03-24,2024-03-14,Laudantium aliquam perspiciatis odio aspernatur pariatur aliquam.,5000
252,377,2023-12-31,,2024-01-07,Illo eum rem autem vel aperiam doloremque deleniti.,0.0
253,329,2025-06-15,2025-06-20,2025-07-06,Id officiis dolorem veniam quod ipsam repellat molestias odit.,0.0
254,136,2025-11-15,,2025-11-29,,0.0
255,228,2024-05-03,2024-05-08,2024-05-24,,0.0
256,243,2025-11-25,2025-12-27,2025-12-25,Alias explicabo quam assumenda aut recusandae cum eaque sint.,1000
257,16,2024-03-03,2024-03-29,2024-03-10,Quibusdam ipsam quas dolor dolorum aliquid dolor asperiores voluptatum.,9500
258,194,2025-10-03,2025-11-11,2025-10-24,,9000
259,302,2022-05-04,,2022-05-11,Enim deleniti similique laboriosam blanditiis ipsa.,0.0
260,347,2024-04-24,,2024-05-08,,0.0
261,229,2025-05-14,,2025-06-13,,0.0
262,169,2025-07-05,2025-07-30,2025-08-04,Corporis commodi autem voluptatum itaque unde cupiditate ipsum ducimus molestiae.,0.0
263,391,2022-10-02,2022-11-02,2022-10-16,Quasi est eligendi vitae ut recusandae impedit.,8500
264,232,2023-12-07,,2023-12-14,Iste vel deserunt officiis quod maiores eveniet.,0.0
265,215,2022-01-14,2022-01-25,2022-01-28,,0.0
266,93,2025-08-13,,2025-09-12,,0.0
267,92,2025-09-29,2025-10-24,2025-10-29,,0.0
268,8,2023-05-31,2023-06-17,2023-06-21,Illo doloremque odio accusantium molestias officia.,0.0
269,318,2023-09-17,2023-10-11,2023-10-01,,5000
270,93,2023-05-01,2023-05-12,2023-05-31,,0.0
271,132,2025-03-30,2025-04-21,2025-04-20,,500
272,313,2024-10-10,2024-10-23,2024-11-09,,0.0
273,374,2025-12-20,2026-01-25,2025-12-27,,14500
274,32,2024-02-28,,2024-03-13,Eaque molestias aliquid error pariatur labore quasi suscipit illo temporibus.,0.0
275,76,2023-05-07,,2023-05-28,,0.0
276,394,2024-11-29,2024-12-22,2024-12-29,,0.0
277,116,2023-04-23,2023-05-11,2023-05-14,Maxime voluptas suscipit recusandae.,0.0
278,123,2025-04-08,,2025-05-08,,0.0
279,91,2023-09-29,,2023-10-20,,0.0
280,275,2022-05-05,2022-05-22,2022-05-19,,1500
281,360,2023-09-10,2023-10-05,2023-10-10,,0.0
282,206,2025-07-09,2025-08-07,2025-07-16,Tempore magni nulla quibusdam perferendis eligendi veniam.,11000
283,225,2023-06-07,2023-06-27,2023-06-21,,3000
284,234,2022-08-01,2022-09-06,2022-08-08,Nam quos inventore iusto ea fugiat.,14500
285,63,2025-01-04,2025-01-31,2025-01-11,,10000
286,109,2024-04-06,2024-05-08,2024-04-20,,9000
287,370,2024-08-28,2024-10-01,2024-09-04,,13500
288,39,2022-05-10,2022-05-24,2022-05-31,,0.0
289,218,2022-08-29,2022-09-06,2022-09-28,Itaque quisquam inventore dicta ea deserunt atque assumenda iste consequatur.,0.0
290,268,2025-10-13,2025-11-17,2025-11-12,,2500
291,89,2025-08-09,2025-09-04,2025-09-08,,0.0
292,292,2022-06-05,2022-07-05,2022-06-19,,8000
293,208,2025-07-14,2025-08-15,2025-07-28,,9000
294,53,2025-02-04,2025-03-06,2025-03-06,,0.0
295,341,2024-06-26,2024-07-30,2024-07-03,,13500
296,190,2024-07-31,2024-09-04,2024-08-14,,10500
297,306,2023-01-29,,2023-02-19,,0.0
298,115,2022-02-23,2022-02-28,2022-03-09,,0.0
299,147,2023-05-05,2023-05-14,2023-05-26,,0.0
300,266,2022-07-16,2022-08-06,2022-07-23,,7000
301,171,2023-01-06,2023-02-12,2023-01-13,Nihil dicta quia ab excepturi officiis.,15000
302,223,2022-07-08,2022-07-10,2022-07-15,,0.0
303,311,2025-08-30,,2025-09-29,Quod odit ratione dolorem.,0.0
304,153,2022-08-28,2022-09-23,2022-09-11,,6000
305,83,2025-02-07,2025-02-26,2025-02-21,,2500
306,126,2022-01-17,,2022-01-31,Beatae aspernatur enim impedit neque quas deserunt porro illum repellat.,0.0
307,173,2022-12-25,2023-01-05,2023-01-01,,2000
308,36,2025-11-30,2026-01-08,2025-12-30,Soluta unde labore consectetur praesentium odio.,4500
309,391,2025-04-20,,2025-05-11,,0.0
310,360,2024-07-08,2024-07-15,2024-08-07,,0.0
311,190,2022-01-04,2022-01-13,2022-01-25,,0.0
312,111,2023-01-18,2023-02-05,2023-01-25,,5500
313,99,2024-01-30,,2024-02-29,,0.0
314,121,2024-08-22,2024-09-19,2024-09-05,,7000
315,260,2023-09-08,2023-10-16,2023-09-29,,8500
316,100,2022-03-04,,2022-04-03,,0.0
317,72,2024-04-24,2024-05-31,2024-05-24,,3500
318,151,2024-02-12,2024-03-21,2024-02-19,Aut asperiores exercitationem dignissimos neque facilis magnam dolorum ut at.,15500
319,315,2025-06-02,2025-06-08,2025-06-16,,0.0
320,329,2023-06-30,2023-07-14,2023-07-30,,0.0
321,340,2025-07-15,2025-08-23,2025-08-05,,9000
322,258,2022-12-14,2022-12-28,2022-12-21,,3500
323,111,2022-09-01,2022-09-03,2022-09-08,,0.0
324,21,2025-04-27,2025-06-05,2025-05-11,Laborum illum officiis doloribus est totam labore maxime.,12500
325,251,2022-01-06,2022-01-26,2022-01-27,,0.0
326,371,2022-06-11,2022-06-15,2022-07-11,,0.0
327,20,2024-03-06,,2024-03-13,,0.0
328,168,2022-03-05,,2022-03-12,,0.0
329,267,2025-11-28,,2025-12-19,Accusamus magni est voluptatibus iusto impedit porro dolorum.,0.0
330,109,2025-12-06,2025-12-24,2025-12-20,,2000
331,253,2024-05-02,,2024-05-09,Architecto excepturi adipisci nesciunt impedit modi cupiditate magni doloribus non.,0.0
332,62,2023-01-16,2023-01-23,2023-01-23,,0.0
333,324,2023-12-06,2024-01-15,2023-12-27,,9500
334,305,2025-08-17,2025-09-17,2025-08-31,,8500
335,319,2022-08-09,,2022-09-08,,0.0
336,34,2022-04-07,2022-04-26,2022-04-14,,6000
337,292,2024-05-02,,2024-05-23,Nobis molestiae temporibus necessitatibus velit voluptatum quod.,0.0
338,204,2024-01-25,2024-02-08,2024-02-15,Vitae recusandae ratione officia maxime earum.,0.0
339,39,2025-03-13,,2025-03-20,,0.0
340,175,2024-11-30,2024-12-06,2024-12-07,,0.0
341,214,2025-09-17,,2025-10-01,Expedita nisi doloribus quo nihil quas doloribus vitae cupiditate ipsa.,0.0
342,187,2024-02-28,2024-03-19,2024-03-20,,0.0
343,253,2023-02-05,,2023-02-26,Error maiores aut perspiciatis exercitationem reiciendis perferendis ratione quibusdam doloremque amet.,0.0
344,212,2022-05-01,,2022-05-08,Libero adipisci perspiciatis eius laudantium voluptatum eius voluptates.,0.0
345,323,2022-08-27,2022-09-09,2022-09-17,,0.0
346,222,2022-03-01,2022-03-24,2022-03-22,,1000
347,154,2023-09-24,,2023-10-01,,0.0
348,283,2024-10-11,2024-10-29,2024-10-18,,5500
349,350,2023-11-08,2023-11-15,2023-11-29,,0.0
350,171,2023-03-07,2023-03-10,2023-03-21,,0.0
351,52,2025-07-31,2025-08-19,2025-08-30,Natus voluptatum ducimus ipsa voluptatibus suscipit.,0.0
352,51,2025-08-04,2025-09-10,2025-08-18,,11500
353,255,2023-04-26,2023-05-22,2023-05-03,,9500
354,171,2022-02-24,2022-03-29,2022-03-17,,6000
355,311,2024-02-15,2024-02-28,2024-02-22,Alias natus quidem consectetur molestias esse.,3000
356,347,2025-04-23,2025-05-26,2025-04-30,,13000
357,325,2025-04-17,2025-05-22,2025-05-01,,10500
358,24,2024-11-18,2024-12-23,2024-12-02,Illo distinctio ipsum officia nam praesentium laboriosam dolore.,10500
359,385,2022-02-18,2022-03-04,2022-03-04,Reiciendis itaque illum provident voluptate deleniti.,0.0
360,285,2022-04-16,,2022-05-07,,0.0
361,355,2025-08-08,2025-08-22,2025-08-29,Odit provident illum necessitatibus neque incidunt quo eos.,0.0
362,40,2023-06-01,,2023-07-01,,0.0
363,354,2023-06-09,2023-07-02,2023-06-16,,8000
364,284,2023-07-15,2023-07-20,2023-07-22,Nisi dolorum dolor suscipit illo provident perferendis labore.,0.0
365,2,2025-12-25,2025-12-28,2026-01-24,Impedit assumenda similique earum dolore laboriosam laboriosam libero.,0.0
366,371,2023-07-20,2023-07-27,2023-08-10,,0.0
367,54,2022-10-04,2022-11-06,2022-10-18,Facere consequuntur non vitae magnam impedit modi perspiciatis rem tenetur.,9500
368,163,2025-04-08,2025-04-19,2025-04-29,,0.0
369,221,2023-05-25,2023-06-18,2023-06-24,Ipsam est soluta temporibus deleniti nulla.,0.0
370,340,2023-07-05,,2023-07-12,,0.0
371,314,2025-11-18,2025-11-22,2025-12-18,Alias consectetur eaque a expedita sed libero aperiam.,0.0
372,131,2022-09-22,2022-10-30,2022-09-29,Voluptates repellat cupiditate ex vero nam.,15500
373,264,2024-06-02,2024-06-22,2024-06-09,,6500
374,307,2022-11-19,2022-11-22,2022-12-10,,0.0
375,211,2023-12-04,,2023-12-18,,0.0
376,366,2022-09-27,2022-10-24,2022-10-04,,10000
377,327,2024-11-23,,2024-11-30,Totam quis quam vitae ipsa.,0.0
378,113,2022-06-07,2022-06-21,2022-06-14,,3500
379,196,2022-02-16,2022-03-26,2022-02-23,,15500
380,96,2024-01-26,2024-02-11,2024-02-25,Dignissimos cum eos dolore recusandae voluptatibus quas adipisci.,0.0
381,51,2025-08-18,2025-09-07,2025-09-01,Laudantium at culpa nostrum reprehenderit vel.,3000
382,90,2023-09-22,2023-10-03,2023-10-13,,0.0
383,330,2022-02-16,2022-03-27,2022-03-18,Quasi eum similique accusamus impedit sequi nostrum nisi ullam a.,4500
384,189,2023-02-14,2023-03-26,2023-02-21,Sed quia dignissimos ratione perspiciatis doloremque numquam adipisci perspiciatis.,16500
385,224,2023-07-08,2023-07-13,2023-07-22,,0.0
386,252,2024-03-24,2024-04-22,2024-04-07,Nihil delectus temporibus architecto velit fuga facilis eum.,7500
387,63,2022-02-23,2022-03-14,2022-03-25,,0.0
388,180,2024-02-03,,2024-02-10,,0.0
